equipment_id,equipment_type,temperature_avg,humidity_avg,last_maintenance_days,uptime_hours,sensor_1,sensor_2,vibration,voltage_fluctuation,pressure,equipment_health,failure_probability,failure_reason,maintenance_level,cost_implications,updated_uptime
EQ-9784,CT Scanner,37.1,52.7,338,2224,-0.03,0.6,0.15,0.31,125.8,Critical,0.8,Sensor Drift,High,12201,2937
EQ-9117,Ventilator,34.1,72.4,196,400,0.02,0.18,5.53,1.45,123.1,Critical,1.0,Component Wear,High,7229,1362
EQ-3077,Ventilator,24.3,28.9,373,1118,0.97,-0.04,3.49,0.93,125.5,Moderate,0.45,Sensor Drift,Medium,7604,2291
EQ-4508,CT Scanner,34.9,41.9,379,4738,0.75,0.9,0.49,0.92,118.1,Critical,0.7,Pressure Leak,High,11242,5820
EQ-2862,Ventilator,27.4,74.5,102,1256,0.86,0.29,4.24,0.47,109.5,Moderate,0.3,Overheating,Medium,9151,1982
EQ-3396,CT Scanner,37.3,31.4,119,3226,0.39,1.02,1.93,1.41,125.1,Critical,0.7,Component Wear,High,11593,3699
EQ-6929,X-ray Machine,19.0,64.5,623,3489,0.44,0.33,2.93,0.77,103.9,Moderate,0.35,Overheating,Medium,13109,4093
EQ-3560,CT Scanner,31.8,68.3,206,3981,0.06,0.74,1.88,0.99,129.7,Critical,0.75,Component Wear,High,3270,4447
EQ-7707,CT Scanner,24.1,79.1,161,2818,0.38,0.75,1.13,0.73,116.1,Moderate,0.3,Overheating,Medium,3616,3165
EQ-4023,MRI Scanner,22.5,46.8,168,3612,0.05,0.48,2.01,1.29,107.6,Good,0.25,Pressure Leak,Low,5393,4640
EQ-2851,CT Scanner,22.9,78.9,508,2791,0.89,0.84,4.97,1.24,123.9,Critical,0.9,Sensor Drift,High,8293,3502
EQ-8299,CT Scanner,35.5,37.0,709,4607,0.25,0.28,1.28,0.56,123.1,Critical,0.8,Overheating,High,3274,5461
EQ-5325,X-ray Machine,29.3,54.5,528,905,0.55,0.72,1.17,0.28,99.6,Moderate,0.35,Voltage Surge,Medium,12848,1832
EQ-1983,Ventilator,31.5,60.1,685,2626,0.0,0.59,2.05,0.21,102.4,Critical,0.95,Voltage Surge,High,9636,3618
EQ-5544,X-ray Machine,27.1,76.2,423,634,-0.06,0.64,3.92,0.93,126.4,Critical,0.7,Voltage Surge,High,10520,838
EQ-6303,X-ray Machine,38.9,63.8,683,4709,0.7,0.97,-0.03,1.42,97.8,Critical,0.9,Pressure Leak,High,9581,5490
EQ-7768,MRI Scanner,35.4,41.1,226,2835,0.74,0.26,4.65,0.15,96.2,Moderate,0.4,Overheating,Medium,2581,3541
EQ-5216,X-ray Machine,33.6,71.9,413,1554,0.52,0.99,0.17,0.63,93.3,Critical,0.6,Overheating,High,1417,2475
EQ-4497,Blood Analyzer,38.4,62.2,614,4654,0.43,0.6,3.51,1.24,120.9,Critical,1.0,Voltage Surge,High,6293,5076
