Equipment_ID,Equipment_Type,Temperature_Avg(C),Humidity_Avg(%),Last_Maintenance_Days_Ago,Failure_Reason,Failure_Probability,Maintenance_Level_Required,Downtime_Hours
EQ-0001,Ventilator,40.94,51.14,174,Power Surge,0.525,Medium,69
EQ-0002,Blood Testing Device,36.08,48.75,238,Mechanical Wear,0.775,Low,39
EQ-0003,CT Scanner,29.29,21.54,259,Power Surge,0.234,Low,71
EQ-0004,Ventilator,44.41,40.47,364,Overheating,0.345,Medium,39
EQ-0005,Ventilator,40.54,42.81,162,Power Surge,0.03,Medium,36
EQ-0006,Blood Testing Device,24.88,43.93,47,Calibration Issue,0.961,Medium,40
EQ-0007,CT Scanner,47.33,54.81,328,Calibration Issue,0.668,High,45
EQ-0008,CT Scanner,44.68,52.02,327,Overheating,0.933,Low,4
EQ-0009,Ventilator,48.49,56.47,115,Calibration Issue,0.265,High,25
EQ-0010,MRI Machine,41.77,65.89,336,Calibration Issue,0.611,High,69
EQ-0011,Ventilator,38.4,68.78,336,Mechanical Wear,0.678,Low,30
EQ-0012,Ventilator,32.55,63.09,224,Power Surge,0.318,Low,68
EQ-0013,Ventilator,47.98,77.33,351,Overheating,0.848,Medium,29
EQ-0014,Ventilator,45.98,21.09,327,Overheating,0.947,Medium,68
EQ-0015,Blood Testing Device,21.36,31.75,146,Overheating,0.885,High,51
EQ-0016,CT Scanner,20.79,20.45,62,Overheating,0.739,Medium,24
EQ-0017,Blood Testing Device,31.29,58.85,293,Overheating,0.277,Medium,14
EQ-0018,Blood Testing Device,44.32,73.88,322,Calibration Issue,0.282,Low,69
EQ-0019,Blood Testing Device,49.62,34.61,324,Mechanical Wear,0.963,Low,18
EQ-0020,Ventilator,24.51,75.62,12,Overheating,0.01,Medium,42
EQ-0021,MRI Machine,37.82,23.62,188,Mechanical Wear,0.716,Low,57
EQ-0022,CT Scanner,31.43,76.07,286,Mechanical Wear,0.706,Medium,12
EQ-0023,MRI Machine,49.1,41.1,207,Calibration Issue,0.623,Low,17
EQ-0024,Blood Testing Device,45.26,26.09,113,Overheating,0.99,Low,30
EQ-0025,Blood Testing Device,45.15,49.15,21,Calibration Issue,0.312,Low,23
EQ-0026,MRI Machine,34.06,35.41,348,Overheating,0.34,Low,1
EQ-0027,MRI Machine,32.44,37.09,213,Calibration Issue,0.079,Medium,32
EQ-0028,MRI Machine,28.2,38.44,170,Mechanical Wear,0.443,High,9
EQ-0029,Blood Testing Device,21.69,68.18,322,Overheating,0.261,Low,15
EQ-0030,Blood Testing Device,45.94,52.35,53,Power Surge,0.343,Medium,28
EQ-0031,CT Scanner,44.39,38.68,297,Mechanical Wear,0.835,Medium,24
EQ-0032,CT Scanner,49.99,56.62,319,Power Surge,0.935,Low,60
EQ-0033,Blood Testing Device,49.9,62.97,125,Mechanical Wear,0.186,High,35
EQ-0034,MRI Machine,36.66,36.36,276,Calibration Issue,0.373,Low,27
EQ-0035,MRI Machine,43.07,44.81,203,Overheating,0.929,Medium,20
EQ-0036,CT Scanner,48.34,27.31,193,Mechanical Wear,0.062,High,65
EQ-0037,Blood Testing Device,45.49,30.87,168,Calibration Issue,0.092,Medium,49
EQ-0038,CT Scanner,27.42,60.87,151,Overheating,0.163,Low,1
EQ-0039,CT Scanner,33.52,30.89,34,Overheating,0.595,High,10
EQ-0040,Ventilator,23.87,51.51,183,Mechanical Wear,0.15,Medium,47
EQ-0041,Ventilator,48.62,62.54,285,Overheating,0.968,Medium,59
EQ-0042,Ventilator,38.19,26.41,56,Mechanical Wear,0.447,Medium,62
EQ-0043,MRI Machine,26.86,54.04,221,Overheating,0.502,Low,18
EQ-0044,Blood Testing Device,40.15,35.39,302,Power Surge,0.247,High,46
EQ-0045,Blood Testing Device,38.54,77.78,162,Calibration Issue,0.471,Low,32
EQ-0046,Blood Testing Device,30.74,49.01,18,Power Surge,0.662,Low,27
EQ-0047,Blood Testing Device,23.41,68.36,263,Mechanical Wear,0.751,Low,18
EQ-0048,Ventilator,40.15,53.01,281,Power Surge,0.754,High,39
EQ-0049,MRI Machine,35.61,22.6,112,Mechanical Wear,0.578,Low,49
EQ-0050,MRI Machine,43.17,57.99,326,Overheating,0.904,Low,44
EQ-0051,Ventilator,35.6,77.08,29,Overheating,0.817,Low,54
EQ-0052,MRI Machine,45.57,56.1,134,Mechanical Wear,0.757,Low,34
EQ-0053,Ventilator,36.56,69.15,66,Power Surge,0.056,Medium,71
EQ-0054,Blood Testing Device,36.83,73.05,64,Overheating,0.007,Low,36
EQ-0055,Ventilator,46.3,33.68,291,Calibration Issue,0.212,Medium,18
EQ-0056,Blood Testing Device,32.1,32.72,24,Overheating,0.664,Low,38
EQ-0057,Blood Testing Device,24.02,56.66,36,Calibration Issue,0.411,High,59
EQ-0058,CT Scanner,20.86,44.66,0,Power Surge,0.402,Medium,9
EQ-0059,Ventilator,42.65,70.39,36,Calibration Issue,0.885,Medium,51
EQ-0060,CT Scanner,38.61,74.0,140,Calibration Issue,0.896,Medium,35
EQ-0061,Ventilator,41.12,41.21,231,Calibration Issue,0.909,Medium,5
EQ-0062,Ventilator,26.39,34.21,135,Calibration Issue,0.314,High,14
EQ-0063,CT Scanner,24.09,66.83,187,Overheating,0.691,Low,30
EQ-0064,CT Scanner,20.44,36.49,127,Calibration Issue,0.272,Medium,4
EQ-0065,Ventilator,30.52,69.36,200,Overheating,0.191,High,39
EQ-0066,MRI Machine,37.7,45.42,126,Calibration Issue,0.185,Medium,64
EQ-0067,Blood Testing Device,31.77,60.05,256,Mechanical Wear,0.342,Low,25
EQ-0068,CT Scanner,33.12,25.73,163,Power Surge,0.43,Medium,28
EQ-0069,Blood Testing Device,47.12,57.43,34,Calibration Issue,0.831,High,66
EQ-0070,MRI Machine,30.45,47.11,193,Mechanical Wear,0.12,Low,22
EQ-0071,MRI Machine,35.42,55.2,190,Calibration Issue,0.735,High,31
EQ-0072,MRI Machine,43.51,30.08,103,Calibration Issue,0.531,Low,23
EQ-0073,CT Scanner,31.9,64.21,22,Calibration Issue,0.288,Low,48
EQ-0074,MRI Machine,38.66,71.77,264,Mechanical Wear,0.493,Low,20
EQ-0075,CT Scanner,45.87,33.0,289,Power Surge,0.3,Medium,38
EQ-0076,MRI Machine,48.49,25.74,259,Mechanical Wear,0.596,High,55
EQ-0077,Blood Testing Device,24.41,21.42,357,Power Surge,0.434,High,68
EQ-0078,Blood Testing Device,47.8,58.52,74,Calibration Issue,0.164,High,1
EQ-0079,Ventilator,34.76,56.43,354,Overheating,0.117,Low,7
EQ-0080,Blood Testing Device,27.75,52.8,71,Calibration Issue,0.547,Medium,57
EQ-0081,Ventilator,33.77,33.92,258,Power Surge,0.902,Low,12
EQ-0082,Blood Testing Device,49.4,43.45,187,Mechanical Wear,0.344,High,5
EQ-0083,CT Scanner,34.78,55.67,172,Calibration Issue,0.733,Medium,50
EQ-0084,Blood Testing Device,29.86,49.81,289,Mechanical Wear,0.659,Medium,42
EQ-0085,Ventilator,39.0,79.27,44,Mechanical Wear,0.932,Medium,12
EQ-0086,Ventilator,27.2,28.19,60,Mechanical Wear,0.821,High,18
EQ-0087,MRI Machine,22.28,61.71,82,Calibration Issue,0.567,Medium,66
EQ-0088,CT Scanner,23.87,44.26,122,Mechanical Wear,0.657,Medium,17
EQ-0089,Blood Testing Device,23.84,45.69,357,Mechanical Wear,0.898,Low,68
EQ-0090,MRI Machine,24.56,63.06,15,Calibration Issue,0.4,Low,71
EQ-0091,Blood Testing Device,24.16,61.55,65,Mechanical Wear,0.327,Medium,62
EQ-0092,Blood Testing Device,39.23,79.48,144,Calibration Issue,0.011,Medium,41
EQ-0093,MRI Machine,25.46,27.7,161,Power Surge,0.827,Low,34
EQ-0094,MRI Machine,30.37,26.25,233,Power Surge,0.801,Low,70
EQ-0095,MRI Machine,46.9,63.46,143,Power Surge,0.104,Low,45
EQ-0096,MRI Machine,34.22,54.7,357,Mechanical Wear,0.577,High,58
EQ-0097,MRI Machine,40.03,36.45,187,Overheating,0.464,High,51
EQ-0098,Blood Testing Device,25.17,24.77,321,Overheating,0.119,Low,34
EQ-0099,MRI Machine,25.77,25.14,12,Mechanical Wear,0.981,Medium,44
EQ-0100,CT Scanner,21.23,73.65,183,Overheating,0.215,Low,15
EQ-0101,Ventilator,25.07,31.51,110,Calibration Issue,0.067,High,70
EQ-0102,MRI Machine,28.36,39.4,289,Overheating,0.595,Medium,50
EQ-0103,MRI Machine,25.31,33.6,294,Mechanical Wear,0.739,High,32
EQ-0104,Blood Testing Device,22.66,41.3,214,Mechanical Wear,0.032,Medium,67
EQ-0105,MRI Machine,23.62,24.17,119,Calibration Issue,0.659,High,3
EQ-0106,MRI Machine,33.82,51.14,54,Power Surge,0.532,Medium,51
EQ-0107,MRI Machine,26.19,24.06,26,Mechanical Wear,0.103,Medium,67
EQ-0108,Blood Testing Device,30.93,68.02,117,Calibration Issue,0.173,Medium,48
EQ-0109,MRI Machine,35.1,34.02,220,Overheating,0.568,Medium,17
EQ-0110,Ventilator,40.71,52.4,230,Overheating,0.296,High,7
EQ-0111,Blood Testing Device,21.18,72.8,52,Calibration Issue,0.938,High,13
EQ-0112,Ventilator,43.98,59.05,294,Calibration Issue,0.819,Medium,66
EQ-0113,Blood Testing Device,38.84,51.98,320,Mechanical Wear,0.984,Medium,4
EQ-0114,MRI Machine,22.45,39.46,232,Overheating,0.26,High,10
EQ-0115,Ventilator,46.21,39.98,157,Calibration Issue,0.97,Medium,17
EQ-0116,Blood Testing Device,47.63,60.17,268,Overheating,0.431,Medium,52
EQ-0117,CT Scanner,21.83,79.65,20,Calibration Issue,0.348,Medium,6
EQ-0118,MRI Machine,28.31,59.71,52,Overheating,0.05,Low,69
EQ-0119,Blood Testing Device,44.19,53.47,274,Power Surge,0.053,Medium,9
EQ-0120,CT Scanner,42.45,63.84,312,Mechanical Wear,0.692,Low,21
EQ-0121,Blood Testing Device,25.54,47.91,280,Overheating,0.458,Medium,24
EQ-0122,CT Scanner,26.28,23.61,213,Power Surge,0.227,High,4
EQ-0123,MRI Machine,31.11,53.74,30,Overheating,0.614,Low,24
EQ-0124,Ventilator,34.54,77.46,336,Overheating,0.253,Low,59
EQ-0125,CT Scanner,38.55,30.52,182,Power Surge,0.578,Medium,3
EQ-0126,Blood Testing Device,31.07,61.4,22,Overheating,0.359,Medium,68
EQ-0127,MRI Machine,33.88,32.06,31,Overheating,0.824,Low,40
EQ-0128,CT Scanner,42.42,52.15,73,Mechanical Wear,0.821,High,48
EQ-0129,Blood Testing Device,21.1,25.8,9,Power Surge,0.477,High,54
EQ-0130,Blood Testing Device,27.57,47.02,53,Power Surge,0.351,Medium,35
EQ-0131,Blood Testing Device,41.4,65.37,51,Calibration Issue,0.363,High,56
EQ-0132,CT Scanner,46.86,40.85,147,Overheating,0.806,High,40
EQ-0133,CT Scanner,35.35,59.89,159,Mechanical Wear,0.328,Medium,68
EQ-0134,CT Scanner,35.96,67.73,13,Overheating,0.209,High,46
EQ-0135,Ventilator,23.22,75.63,177,Overheating,0.085,Medium,13
EQ-0136,CT Scanner,33.42,34.08,52,Calibration Issue,0.467,Low,27
EQ-0137,CT Scanner,35.98,43.96,334,Overheating,0.482,Medium,6
EQ-0138,CT Scanner,27.27,29.14,21,Mechanical Wear,0.841,Low,17
EQ-0139,Ventilator,28.08,79.55,29,Mechanical Wear,0.221,Low,36
EQ-0140,CT Scanner,31.32,75.62,190,Calibration Issue,0.381,High,2
EQ-0141,Blood Testing Device,20.6,52.4,259,Overheating,0.808,High,52
EQ-0142,CT Scanner,29.66,70.52,204,Mechanical Wear,0.824,High,66
EQ-0143,Blood Testing Device,26.34,51.26,58,Overheating,0.385,Medium,52
EQ-0144,Blood Testing Device,29.82,57.42,263,Overheating,0.459,High,43
EQ-0145,Blood Testing Device,23.59,25.35,11,Overheating,0.303,Low,22
EQ-0146,Ventilator,46.72,65.32,118,Calibration Issue,0.933,High,55
EQ-0147,Ventilator,37.81,27.66,289,Overheating,0.119,High,67
EQ-0148,Ventilator,40.37,69.56,337,Mechanical Wear,0.934,Medium,60
EQ-0149,CT Scanner,43.68,66.92,247,Overheating,0.684,Medium,58
EQ-0150,Blood Testing Device,34.95,62.52,353,Mechanical Wear,0.532,Low,12
EQ-0151,Ventilator,22.61,22.17,126,Overheating,0.033,Medium,69
EQ-0152,Ventilator,36.11,38.19,74,Mechanical Wear,0.476,High,39
EQ-0153,CT Scanner,37.61,35.79,360,Mechanical Wear,0.408,Medium,13
EQ-0154,Ventilator,42.36,41.61,203,Overheating,0.161,Low,41
EQ-0155,CT Scanner,32.95,25.26,48,Overheating,0.656,High,57
EQ-0156,MRI Machine,23.83,76.22,78,Mechanical Wear,0.971,Low,53
EQ-0157,Ventilator,28.51,53.23,240,Power Surge,0.562,Medium,12
EQ-0158,MRI Machine,30.89,38.33,348,Calibration Issue,0.715,Medium,13
EQ-0159,CT Scanner,39.38,43.82,153,Power Surge,0.068,Low,57
EQ-0160,Blood Testing Device,37.12,46.83,273,Power Surge,0.418,High,40
EQ-0161,Ventilator,30.68,56.04,95,Overheating,0.116,Medium,45
EQ-0162,CT Scanner,49.6,50.94,213,Calibration Issue,0.613,Medium,35
EQ-0163,Blood Testing Device,38.17,75.16,293,Power Surge,0.938,High,3
EQ-0164,Blood Testing Device,27.12,49.82,208,Overheating,0.662,Medium,5
EQ-0165,MRI Machine,23.05,79.53,342,Power Surge,0.077,Low,11
EQ-0166,CT Scanner,24.59,71.09,87,Power Surge,0.355,Medium,71
EQ-0167,Blood Testing Device,27.38,32.51,305,Overheating,0.551,Medium,56
EQ-0168,Ventilator,24.82,75.84,263,Overheating,0.403,High,10
EQ-0169,Ventilator,25.6,26.98,324,Overheating,0.834,Low,34
EQ-0170,MRI Machine,28.55,69.05,319,Calibration Issue,0.815,High,67
EQ-0171,Blood Testing Device,25.2,42.84,156,Power Surge,0.612,Medium,31
